Goroka Airport,Goroka,Papua New Guinea,GKA,-6.081689835,145.3919983,5282
Madang Airport,Madang,Papua New Guinea,MAG,-5.207079887,145.7890015,20
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,-5.826789856,144.2960052,5388
Nadzab Airport,Nadzab,Papua New Guinea,LAE,-6.569803,146.725977,239
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,-9.443380356,147.2200012,146
Wewak International Airport,Wewak,Papua New Guinea,WWK,-3.583830118,143.6690063,19
Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,61.16049957,-45.42599869,112
Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,64.19090271,-51.67810059,283
Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,67.0122219,-50.71160316,165
Thule Air Base,Thule,Greenland,THU,76.53119659,-68.70320129,251
Akureyri Airport,Akureyri,Iceland,AEY,65.66000366,-18.0727005,6
Egilsstaoir Airport,Egilsstadir,Iceland,EGS,65.28330231,-14.40139961,76
Hornafjorour Airport,Hofn,Iceland,HFN,64.295601,-15.2272,24
Husavik Airport,Husavik,Iceland,HZK,65.952301,-17.426001,48
isafjorour Airport,Isafjordur,Iceland,IFJ,66.05809784,-23.13529968,8
Keflavik International Airport,Keflavik,Iceland,KEF,63.98500061,-22.60560036,171
Patreksfjorour Airport,Patreksfjordur,Iceland,PFJ,65.555801,-23.965,11
Reykjavik Airport,Reykjavik,Iceland,RKV,64.12999725,-21.94059944,48
Siglufjorour Airport,Siglufjordur,Iceland,SIJ,66.133301,-18.9167,10
Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,63.42430115,-20.27890015,326
Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,46.48500061,-84.50939941,630
St. Anthony Airport,St. Anthony,Canada,YAY,51.39189911,-56.08309937,108
Tofino / Long Beach Airport,Tofino,Canada,YAZ,49.079833,-125.775583,80
Kugaaruk Airport,Pelly Bay,Canada,YBB,68.534401,-89.808098,56
Baie Comeau Airport,Baie Comeau,Canada,YBC,49.13249969,-68.20439911,71
CFB Bagotville,Bagotville,Canada,YBG,48.33060074,-70.99639893,522
Baker Lake Airport,Baker Lake,Canada,YBK,64.29889679,-96.07779694,59
Campbell River Airport,Campbell River,Canada,YBL,49.95080185,-125.2710037,346
Brandon Municipal Airport,Brandon,Canada,YBR,49.91,-99.951897,1343
Cambridge Bay Airport,Cambridge Bay,Canada,YCB,69.10810089,-105.1380005,90
Nanaimo Airport,Nanaimo,Canada,YCD,49.05497022,-123.8698626,92
Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,49.29639816,-117.6320038,1624
Miramichi Airport,Chatham,Canada,YCH,47.007801,-65.449203,108
Charlo Airport,Charlo,Canada,YCL,47.990799,-66.330299,132
Kugluktuk Airport,Coppermine,Canada,YCO,67.816704,-115.143997,74
Coronation Airport,Coronation,Canada,YCT,52.07500076,-111.4449997,2595
Chilliwack Airport,Chilliwack,Canada,YCW,49.15280151,-121.939003,32
Clyde River Airport,Clyde River,Canada,YCY,70.48609924,-68.51670074,87
Coral Harbour Airport,Coral Harbour,Canada,YZS,64.19329834,-83.35939789,210
Dawson City Airport,Dawson,Canada,YDA,64.04309845,-139.128006,1215
Burwash Airport,Burwash,Canada,YDB,61.37110138,-139.0410004,2647
Deer Lake Airport,Deer Lake,Canada,YDF,49.21080017,-57.39139938,72
Dease Lake Airport,Dease Lake,Canada,YDL,58.42219925,-130.0319977,2600
Dauphin Barker Airport,Dauphin,Canada,YDN,51.10079956,-100.052002,999
Dawson Creek Airport,Dawson Creek,Canada,YDQ,55.74229813,-120.1829987,2148
Edmonton International Airport,Edmonton,Canada,YEG,53.30970001,-113.5800018,2373
Arviat Airport,Eskimo Point,Canada,YEK,61.09420013,-94.07080078,32
Estevan Airport,Estevan,Canada,YEN,49.21030045,-102.9660034,1905
Edson Airport,Edson,Canada,YET,53.57889938,-116.4649963,3043
Eureka Airport,Eureka,Canada,YEU,79.99469757,-85.81420136,256
Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,68.30419922,-133.4830017,224
Iqaluit Airport,Iqaluit,Canada,YFB,63.756402,-68.555801,110
Fredericton Airport,Fredericton,Canada,YFC,45.8689003,-66.53720093,68
Forestville Airport,Forestville,Canada,YFE,48.74610138,-69.09719849,293
Flin Flon Airport,Flin Flon,Canada,YFO,54.67810059,-101.6819992,997
Fort Resolution Airport,Fort Resolution,Canada,YFR,61.18080139,-113.6900024,526
Fort Simpson Airport,Fort Simpson,Canada,YFS,61.7602005,-121.2369995,555
Kingston Norman Rogers Airport,Kingston,Canada,YGK,44.22529984,-76.59690094,305
La Grande Riviere Airport,La Grande Riviere,Canada,YGL,53.62530136,-77.70420074,639
Gaspe (Michel-Pouliot) Airport,Gaspe,Canada,YGP,48.77529907,-64.47859955,112
Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,49.77830124,-86.93939972,1144
iles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,47.42470169,-61.77809906,35
Hudson Bay Airport,Hudson Bay,Canada,YHB,52.81669998,-102.310997,1175
Dryden Regional Airport,Dryden,Canada,YHD,49.831699,-92.744202,1354
Ulukhaktok Holman Airport,Holman Island,Canada,YHI,70.76280212,-117.8059998,117
Gjoa Haven Airport,Gjoa Haven,Canada,YHK,68.63559723,-95.84970093,152
John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,43.17359924,-79.93499756,780
Montreal / Saint-Hubert Airport,Montreal,Canada,YHU,45.51750183,-73.41690063,90
Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,60.83969879,-115.7829971,541
Halifax / Stanfield International Airport,Halifax,Canada,YHZ,44.88079834,-63.50859833,477
Atikokan Municipal Airport,Atikokan,Canada,YIB,48.77389908,-91.63860321,1408
Pond Inlet Airport,Pond Inlet,Canada,YIO,72.6832962,-77.96669769,181
St Jean Airport,St. Jean,Canada,YJN,45.29439926,-73.28109741,136
Stephenville Airport,Stephenville,Canada,YJT,48.5442009,-58.54999924,84
Kamloops Airport,Kamloops,Canada,YKA,50.70220184,-120.4440002,1133
Waterloo Airport,Waterloo,Canada,YKF,43.46080017,-80.37860107,1055
Schefferville Airport,Schefferville,Canada,YKL,54.80530167,-66.80529785,1709
Kindersley Airport,Kindersley,Canada,YKY,51.51750183,-109.1809998,2277
Buttonville Municipal Airport,Toronto,Canada,YKZ,43.86220169,-79.37000275,650
Chapleau Airport,Chapleau,Canada,YLD,47.81999969,-83.34670258,1470
Meadow Lake Airport,Meadow Lake,Canada,YLJ,54.12530136,-108.5230026,1576
Lloydminster Airport,Lloydminster,Canada,YLL,53.30920029,-110.072998,2193
Alert Airport,Alert,Canada,YLT,82.51779938,-62.2806015,100
Kelowna International Airport,Kelowna,Canada,YLW,49.95610046,-119.3779984,1421
Mayo Airport,Mayo,Canada,YMA,63.61640167,-135.8679962,1653
Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,50.33029938,-105.5589981,1892
Fort McMurray Airport,Fort Mcmurray,Canada,YMM,56.65330124,-111.2220001,1211
Moosonee Airport,Moosonee,Canada,YMO,51.29109955,-80.60780334,30
Maniwaki Airport,Maniwaki,Canada,YMW,46.27280045,-75.99060059,656
Montreal International (Mirabel) Airport,Montreal,Canada,YMX,45.679501,-74.038696,270
Natashquan Airport,Natashquan,Canada,YNA,50.18999863,-61.78919983,39
Ottawa / Gatineau Airport,Gatineau,Canada,YND,45.52170181,-75.56359863,211
Matagami Airport,Matagami,Canada,YNM,49.76169968,-77.80280304,918
Old Crow Airport,Old Crow,Canada,YOC,67.57060242,-139.8390045,824
CFB Cold Lake,Cold Lake,Canada,YOD,54.40499878,-110.2789993,1775
High Level Airport,High Level,Canada,YOJ,58.62139893,-117.1650009,1110
